Name,Disaster,Costs,Deaths,Year,Month
Hurricane Ike (September 2008),Tropical Cyclone,40198.5,112,2008,9
U.S. Wildfires (Fall 2008),Wildfire,1653.5,16,2008,11
U.S. Drought (2008),Drought,9673.5,0,2008,12
Southeast/Ohio Valley Severe Weather (February 2009),Severe Storm,2401.4,10,2009,2
Midwest/Southeast Tornadoes (March 2009),Severe Storm,2247.6,0,2009,3
South/Southeast Severe Weather and Tornadoes (April 2009),Severe Storm,1959.3,6,2009,4
Central Derecho and Tornadoes (May 2009),Severe Storm,1179.7,7,2009,5
"Midwest, South and East Severe Weather (June 2009)",Severe Storm,1806.2,0,2009,6
Colorado Hail Storm (July 2009),Severe Storm,1360,0,2009,7
Georgia Flooding (September 2009),Flooding,1213,10,2009,9
Western Wildfires (Summer-Fall 2009),Wildfire,1376.3,10,2009,11
Southwest/Great Plains Drought (2009),Drought,4819.1,0,2009,12
Northeast Winter Storm (February 2010),Winter Storm,1103.1,3,2010,2
Northeast Flooding (March 2010),Flooding,2489.7,11,2010,3
East/South Flooding and Severe Weather (May 2010),Flooding,3059.6,32,2010,5
"Oklahoma, Kansas, and Texas Tornadoes and Severe Weather (May 2010)",Severe Storm,4467.3,3,2010,5
Rockies/Central/East Severe Weather (June 2010),Severe Storm,1207.4,2,2010,6
Midwest/Northeast Severe Storms and Flooding (July 2010),Severe Storm,1270.8,0,2010,7
Arizona Severe Weather (October 2010),Severe Storm,5092,0,2010,10
Groundhog Day Blizzard (February 2011),Winter Storm,2386.4,36,2011,2
Midwest/Southeast Tornadoes and Derecho (April 2011),Severe Storm,3607.7,9,2011,4
Southeast/Midwest Tornadoes (April 2011),Severe Storm,2833.1,0,2011,4
Midwest/Southeast Tornadoes (April 2011),Severe Storm,2677,38,2011,4
Ohio Valley Derecho and Southern Tornadoes (April 2011),Severe Storm,1348.8,0,2011,4
Southeast/Ohio Valley/Midwest Tornadoes (April 2011),Severe Storm,13288.4,321,2011,4
Midwest/Southeast Tornadoes (May 2011),Severe Storm,11734.9,177,2011,5
Mississippi River flooding (April-May 2011),Flooding,3971.5,7,2011,5
Midwest/Southeast Tornadoes and Severe Weather (June 2011),Severe Storm,1983.1,3,2011,6
Missouri River flooding (May-June 2011),Flooding,2663.1,5,2011,6
North Central Severe Weather (July 2011),Severe Storm,1145.6,0,2011,7
Rockies and Midwest Derecho (July 2011),Severe Storm,1593.3,2,2011,7
Midwest/Southeast Severe Weather (August 2011),Severe Storm,1485.3,0,2011,8
Hurricane Irene (August 2011),Tropical Cyclone,17407.3,45,2011,8
Southern Plains/Southwest Drought and Heat Wave (Spring-Summer 2011),Drought,15913.3,95,2011,8
Tropical Storm Lee (September 2011),Tropical Cyclone,3241.2,21,2011,9
Northeastern Winter Storm (October 2011),Winter Storm,1193.3,1,2011,10
"Texas, New Mexico, Arizona Wildfires (Summer-Fall 2011)",Wildfire,2348.6,5,2011,11
Southeast/Ohio Valley Tornadoes (March 2012),Severe Storm,3973.6,42,2012,3
Texas Tornadoes (April 2012),Severe Storm,1289.4,0,2012,4
Midwest Tornadoes (April 2012),Severe Storm,1427,6,2012,4
Midwest/Ohio Valley Severe Weather (April-May 2012),Severe Storm,4161,1,2012,5
